Set,PPG-MAE,BCG-MAE,rPPG-MAE,PPG-SDE,BCG-SDE,rPPG-SDE,PPG-MSE,BCG-MSE,rPPG-MSE,PPG-RMSE,BCG-RMSE,rPPG-RMSE,PPG-PCC,BCG-PCC,rPPG-PCC
s45,0.042067861,3.666672241,2.497729563,0.047059355,3.929753672,1.80249178,0.002492915,28.1987922,9.484734893,0.049929095,5.310253496,3.079729679,0.999968144,0.76473744,0.95159136
s45_talk,6.198041379,13.80485392,11.13115452,9.018687063,8.796086863,4.849068966,119.2802133,267.7715379,147.4160707,10.92154812,16.36372628,12.141502,0.358735879,0.177099374,0.782489253
s46,0.038241323,2.495692735,1.489906967,0.04674904,2.10090959,1.324780723,0.002522383,8.03299597,3.972941552,0.050223328,2.834254041,1.993223909,0.99991483,0.805382137,0.92850495
s46_talk,0.981986669,4.721200699,1.653847917,1.532907345,5.253751239,1.524754093,3.267462348,33.51189272,4.214121878,1.807612333,5.788945734,2.052832647,0.940763287,0.487016262,0.942722676
s47,0.041576549,1.149116995,2.750837925,0.047710284,0.895084585,2.309107159,0.002564727,1.765404551,12.89496564,0.050643137,1.328685272,3.59095609,0.999898308,0.975595625,0.755590183
s47_talk,0.512153007,4.269840532,2.132975204,0.809540624,4.73129692,2.087064369,0.903982708,24.92974547,5.863241803,0.950780052,4.992969604,2.421413183,0.983337699,0.184493859,0.883170756
s48,0.531735143,6.624847132,1.25757385,0.72583029,4.291316226,1.740623802,0.803247866,62.27521192,4.049337888,0.896240964,7.891464498,2.01229667,0.988631086,0.45033934,0.932586754
s48_talk,1.526035393,4.686055758,0.744749598,1.382970753,2.877079996,0.874246323,4.232998471,30.23670787,0.847129984,2.057425204,5.498791492,0.920396645,0.943924035,0.784466789,0.979276421
s49,0.044760394,4.079986669,5.795917209,0.054530623,1.518099371,2.049291989,0.003029163,18.93660407,37.79225395,0.055037831,4.351620855,6.14754048,0.999844539,0.930572584,0.864137222
s49_talk,0.360077645,4.963351908,4.331053536,0.69455719,3.254596581,3.636377094,0.599197758,35.22726106,31.61654563,0.774078651,5.93525577,5.622859204,0.98689306,0.664722332,0.542667079
